Mission_time,Temp1,Temp2,Pressure1,Pressure2,Temp3,Temp4,Pressure3,Pressure4,Temp5,Temp6,Pressure5,Pressure6,Pressurant_Fill_Indicator,Pressurant_Oxidizer_Indicator,Oxidizer_Fill_Indicator,Oxidizer_Combustion_Indicator
93.50,176.27,0.00,48.82,0.00,179.69,0.00,180.45,0.00,0.00,0.00,205.96,0.00,0,0,0,0
94.50,176.76,0.00,49.35,0.00,181.15,0.00,182.89,0.00,0.00,0.00,207.59,0.00,0,0,0,0
95.51,176.76,0.00,49.17,0.00,181.15,0.00,182.89,0.00,0.00,0.00,207.59,0.00,0,0,0,0
96.51,176.27,0.00,49.00,0.00,180.18,0.00,181.26,0.00,0.00,0.00,206.77,0.00,0,0,0,0
97.52,176.27,0.00,49.00,0.00,180.18,0.00,181.26,0.00,0.00,0.00,206.77,0.00,0,0,0,0
98.52,176.76,0.00,49.35,0.00,181.15,0.00,182.89,0.00,0.00,0.00,207.59,0.00,0,0,0,0
99.53,176.27,0.00,49.00,0.00,180.66,0.00,182.08,0.00,0.00,0.00,206.77,0.00,0,0,0,0
100.53,176.27,0.00,48.82,0.00,180.18,0.00,180.45,0.00,0.00,0.00,205.96,0.00,0,0,0,0
101.54,176.76,0.00,49.17,0.00,180.66,0.00,182.08,0.00,0.00,0.00,206.77,0.00,0,0,0,0
102.54,177.25,0.00,49.35,0.00,181.15,0.00,182.89,0.00,0.00,0.00,207.59,0.00,0,0,0,0
103.55,176.27,0.00,49.00,0.00,180.18,0.00,181.26,0.00,0.00,0.00,206.77,0.00,0,0,0,0
104.56,176.76,0.00,49.17,0.00,180.66,0.00,182.08,0.00,0.00,0.00,206.77,0.00,0,0,0,0
105.56,177.25,0.00,49.35,0.00,181.15,0.00,182.89,0.00,0.00,0.00,207.59,0.00,0,0,0,0
106.57,176.27,0.00,49.00,0.00,180.66,0.00,181.26,0.00,0.00,0.00,206.77,0.00,0,0,0,0
107.57,176.27,0.00,49.00,0.00,180.18,0.00,181.26,0.00,0.00,0.00,206.77,0.00,0,0,0,0
108.58,177.25,0.00,49.17,0.00,181.15,0.00,182.89,0.00,0.00,0.00,207.59,0.00,0,0,0,0
109.58,176.76,0.00,49.17,0.00,180.66,0.00,182.08,0.00,0.00,0.00,207.59,0.00,0,0,0,0
110.59,176.27,0.00,48.82,0.00,180.18,0.00,181.26,0.00,0.00,0.00,206.77,0.00,0,0,0,0
111.59,176.76,0.00,49.17,0.00,180.66,0.00,182.08,0.00,0.00,0.00,206.77,0.00,0,0,0,0
112.60,176.76,0.00,49.17,0.00,180.66,0.00,182.08,0.00,0.00,0.00,207.59,0.00,0,0,0,0
113.60,176.27,0.00,49.00,0.00,180.18,0.00,181.26,0.00,0.00,0.00,206.77,0.00,0,0,0,0
114.61,176.27,0.00,48.82,0.00,179.69,0.00,180.45,0.00,0.00,0.00,205.96,0.00,0,0,0,0
115.61,176.76,0.00,49.35,0.00,181.15,0.00,182.89,0.00,0.00,0.00,207.59,0.00,0,0,0,0
116.62,176.27,0.00,49.00,0.00,180.18,0.00,181.26,0.00,0.00,0.00,206.77,0.00,0,0,0,0
117.63,175.78,0.00,48.82,0.00,179.69,0.00,180.45,0.00,0.00,0.00,205.96,0.00,0,0,0,0
118.63,176.76,0.00,49.17,0.00,180.66,0.00,182.08,0.00,0.00,0.00,206.77,0.00,0,0,0,0
119.64,177.25,0.00,49.35,0.00,181.64,0.00,183.70,0.00,0.00,0.00,208.40,0.00,0,0,0,0
120.64,176.27,0.00,49.00,0.00,180.18,0.00,181.26,0.00,0.00,0.00,206.77,0.00,0,0,0,0
121.65,176.27,0.00,49.00,0.00,180.18,0.00,181.26,0.00,0.00,0.00,206.77,0.00,0,0,0,0
122.65,176.76,0.00,49.17,0.00,181.15,0.00,182.89,0.00,0.00,0.00,207.59,0.00,0,0,0,0
123.66,176.76,0.00,49.00,0.00,180.66,0.00,182.08,0.00,0.00,0.00,207.59,0.00,0,0,0,0
